,android_total_ratings,ios_file_size,ios_current_ratings,ios_all_ratings,android_avg_rating,android_rating_1,android_rating_4,android_rating_5,android_rating_2,android_rating_3,android_file_size
2016-07-21 00:00:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 00:10:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 00:20:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 00:30:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 00:40:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 00:50:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 01:00:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 01:10:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 01:20:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 01:30:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 01:40:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 01:50:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 02:00:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 02:10:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 02:20:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 02:30:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 02:40:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 02:50:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 03:00:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 03:10:00,1281802.0,110.0,4688.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 03:20:00,1281802.0,110.0,5668.0,107460.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 03:30:00,1281802.0,110.0,5668.0,106508.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 03:40:00,1281802.0,110.0,5668.0,107460.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 03:50:00,1281802.0,110.0,5668.0,107460.0,3.9,199974.0,165956.0,726597.0,71521.0,117754.0,58.0
2016-07-21 04:00:00,1292537.0,110.0,5668.0,107460.0,3.9,201095.0,167748.0,732956.0,71943.0,118795.0,58.0
2016-07-21 04:10:00,1292537.0,110.0,5668.0,107460.0,3.9,201095.0,167748.0,732956.0,71943.0,118795.0,58.0
